base_portfolio,activation_threshold,deactivation_threshold,cost_bps,CAGR_no_ted,Sharpe_no_ted,max_drawdown_no_ted,Calmar_no_ted,cagr_delta_pct_points_no_ted,mdd_improvement_pct_points_no_ted,calmar_delta_no_ted,overall_guardrail_pass_no_ted,CAGR_original,Sharpe_original,max_drawdown_original,Calmar_original,cagr_delta_pct_points_original,mdd_improvement_pct_points_original,calmar_delta_original,overall_guardrail_pass_original,CAGR_change_no_ted_minus_original,mdd_change_no_ted_minus_original,calmar_change_no_ted_minus_original,pass_changed
growth_50,0.65,0.4,2.0,0.08800963973886744,1.0304147872039966,-0.19805626833942724,0.4443668482536348,-0.25071748209788414,2.8905177623623546,0.04554662495199807,True,0.0881366194830395,0.983198943124374,-0.198056268339427,0.4450079778944021,-0.2380195076806757,2.890517762362377,0.0461877545927654,True,-0.0001269797441720566,-2.498001805406602e-16,-0.0006411296407672906,False
growth_50,0.65,0.4,5.0,0.08786871169473409,1.0288049185996089,-0.19836421494765566,0.442966548769499,-0.25929045778272375,2.864806478183335,0.04447878246735598,True,0.0880125228535715,0.9818411952287148,-0.1983642149476555,0.4436915341650524,-0.24490934189898,2.864806478183346,0.0452037678629094,True,-0.00014381115883740914,-1.6653345369377348e-16,-0.0007249853955534347,False
growth_50,0.65,0.4,10.0,0.08763383474207331,1.0261167094251105,-0.19887730779963053,0.44064270434696684,-0.2735788457961519,2.821968951147258,0.04270867496728148,True,0.0878056957324584,0.9795746609520256,-0.1988773077996293,0.4415068602040987,-0.2563927467576388,2.82196895114738,0.0435728308244133,True,-0.00017186099038508929,-1.2212453270876722e-15,-0.0008641558571318431,False
aggressive_55,0.65,0.4,0.0,0.09550301932186733,1.0626317764105657,-0.19115899851758344,0.499599914534406,-0.23275163803702092,2.934540426535426,0.055932874477428396,True,0.0955165984710841,1.0012500397738258,-0.1911589985175841,0.4996709504224459,-0.2313937231153362,2.934540426535359,0.0560039103654683,True,-1.357914921676362e-05,6.661338147750939e-16,-7.103588803991645e-05,False
aggressive_55,0.65,0.4,2.0,0.09541004995750701,1.0616254065894382,-0.19136616227667191,0.4985732525668033,-0.238529598256898,2.9171839447102887,0.055133368394073456,True,0.0954349099186595,1.0004097997678405,-0.191366162276672,0.4987031603877928,-0.2360436021416445,2.9171839447102776,0.0552632762150629,True,-2.4859961152479126e-05,8.326672684688674e-17,-0.00012990782098948328,False
aggressive_55,0.65,0.4,5.0,0.09527059666913829,1.060114073356167,-0.19167685090474196,0.49703757245305075,-0.24719660175431812,2.8911547273175686,0.053938282127517445,True,0.0953123769691806,0.9991482281739952,-0.1916768509047426,0.4972555450451753,-0.2430185717500865,2.891154727317502,0.054156254719642,True,-4.178030004231559e-05,6.38378239159465e-16,-0.0002179725921245268,False
aggressive_55,0.65,0.4,10.0,0.09503817654023328,1.057590462157006,-0.19219451326902937,0.4944895404334518,-0.2616417763638079,2.8477873780326513,0.05195753355381533,True,0.0951081550610568,0.9970423904674632,-0.1921945132690292,0.4948536430273987,-0.2546439242814502,2.8477873780326624,0.0523216361477623,True,-6.997852082352152e-05,-1.6653345369377348e-16,-0.00036410259394692446,False
defensive_35,0.65,0.45,0.0,0.07434937812871145,0.9038778961607512,-0.20939516945657,0.3550673032318065,-0.18467590204995776,1.3726205314237405,0.013566462142598934,True,0.0742051757311341,0.8895604771646934,-0.2093951694565698,0.3543786417027393,-0.1990961418076864,1.3726205314237516,0.0128778006135317,True,0.00014420239757735598,-1.942890293094024e-16,0.0006886615290672138,False
defensive_35,0.65,0.45,2.0,0.07427626853097524,0.9030057372879778,-0.20953354253501766,0.35448390569047933,-0.18812891137560683,1.3623291692725803,0.013210209510471416,True,0.0741393993601224,0.8887864068763206,-0.2095335425350182,0.3538306968094712,-0.2018158284608828,1.3623291692725248,0.0125570006294633,True,0.00013686917085284356,5.551115123125783e-16,0.000653208881008116,False
defensive_35,0.65,0.45,5.0,0.0741666070969429,0.9016966853154293,-0.20974107442325507,0.353610313577757,-0.19330830083033046,1.346894684034028,0.012677188467850709,True,0.074040737022734,0.8876246476502286,-0.2097410744232554,0.3530101923351483,-0.2058953082512138,1.3468946840339946,0.012077067225242,True,0.00012587007420888918,3.3306690738754696e-16,0.0006001212426087199,False
